original_language,budget,revenue,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,language_encoded
en,250000000,1153304495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,209000000,303025485,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,150000000,1513528810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,200000000,1108561013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,200000000,783766341,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,1215439994,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,200000000,1025491110,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,210000000,459359555,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,200000000,743559607,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,836297228,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,210000000,1091405097,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,200000000,491868548,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,705717432,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,170000000,400062763,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,200000000,559852396,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,219851172,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,200000000,1066969703,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,371353001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,190000000,1506249360,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,531865000,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,7
en,250000000,747862775,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,190000000,467365246,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,195000000,197687603,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,105000000,351040419,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7
en,150000000,335154643,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7
en,180000000,407602906,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,195000000,1123746996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,185000000,786636033,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,175000000,331926147,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,185000000,538983207,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,185000000,343471816,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,180000000,521311860,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,258022233,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,200000000,769653595,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,200000000,325233863,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,176000003,183987723,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,180000000,356743061,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,180000000,748806957,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,178000000,543934787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,185000000,1004558444,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,175000000,735099082,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,175000000,381509870,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
en,140000000,585174222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,170000000,185770160,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,170000000,222104681,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7
en,145000000,401128639,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,175000000,745000000,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,175000000,173000000,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,178000000,370541256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,175000000,264218220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,175000000,302469017,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,175000000,857611174,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,175000000,966550600,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,623933331,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,170000000,396600000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,180000000,758539785,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,7
en,170000000,710644566,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,27000000,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7
en,175000000,150962475,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,170000000,714766572,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,165000000,752600867,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,190000000,209154322,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,7
en,165000000,652105443,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,165000000,471222889,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,165000000,305875730,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,165000000,389681935,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,165000000,494878759,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,200000000,435000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,170000000,773328629,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,165000000,675120017,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,160000000,825532764,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,7
ja,15000000,77000000,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,17
en,250000000,1021103568,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,38000000,207283925,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,150000000,333932083,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,7
en,160000000,353624124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,160000000,653428261,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,150000000,215283742,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,160000000,181674817,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,170000000,299370084,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,160000000,798958165,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,160000000,433677183,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,155000000,440603537,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,155000000,415686217,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,449220945,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7
en,150000000,709709780,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,155000000,167298192,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,7
en,150000000,938212738,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7
en,150000000,895921036,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,624029371,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,585349010,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,7
en,150000000,474968763,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,623722818,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,374218673,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,603900354,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,413106170,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,373062864,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,150000000,424988211,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,150000000,1274219009,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,738599701,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,170000000,644571402,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,378858340,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,150000000,356613439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7
en,150000000,449326618,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,309979994,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,292817841,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,301000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,245527149,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,682330139,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,150000000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,7
en,150000000,287594577,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,665692281,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,318502923,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,397850012,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,150000000,205366737,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,150000000,38992758,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,149000000,64459316,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,128388320,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,145000000,272912430,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,175000000,497409852,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7
en,145000000,746921274,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,431971116,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,144000000,229147509,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,553799566,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,140000000,441818803,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,70000000,195735876,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,145000000,521170825,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,145000000,694713380,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,145000000,306941670,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,100000000,202026112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,456758981,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7
en,140000000,268031828,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,385680446,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,139000000,821708551,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,145000000,609123048,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,150680864,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,135000000,76932943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,185258983,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
en,140000000,285444603,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,137000000,245360480,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,130000000,371876278,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,130000000,119269486,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
en,137000000,85131830,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,7
en,140000000,370569774,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,135000000,361832400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,150000000,212011111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,120000000,829000000,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,7
en,130000000,150406466,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,150000000,163712074,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,140000000,183345589,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,135000000,532950503,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,7
en,135000000,282570682,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,135000000,245724603,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7
en,132000000,373552094,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,70000000,442824138,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7
en,130000000,631744560,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,519311965,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,130000000,847423452,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,135000000,368871007,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,7
en,132000000,591739379,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,130000000,273339556,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,130000000,554987477,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,293329073,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7
en,125000000,362637473,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,371940071,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
en,130000000,789804554,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,49554002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,243843127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,127500000,354248063,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,127000000,349424282,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,321887208,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
en,125000000,976475550,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,61648500,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,140000000,655011224,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,125000000,752100229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,125000000,767820459,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7
en,103000000,500188435,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,407711549,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,125000000,626137675,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,125000000,334615000,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
en,125000000,232713139,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,65000000,261317921,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,160000000,61698899,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,276572938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,125000000,238207122,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,123000000,345141403,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,125000000,544272402,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,125000000,546388105,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,120000000,325756637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,289047763,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7
en,120000000,609016565,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,228738393,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,7
en,120000000,415484914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,120000000,259175788,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,130000000,403170142,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
en,120000000,169956806,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,115000000,286140700,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,105000000,115772733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,120000000,242688965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,120000000,93945766,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
en,120000000,48668907,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7
en,117000000,261930431,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,120000000,286168572,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7
en,113000000,850000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,120000000,649398328,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,115000000,562816256,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,120000000,415440673,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,115000000,924317558,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,135000000,585178928,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
fr,97250400,132900000,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10
en,115000000,77628265,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7
en,115000000,164602163,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,125000000,477200000,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7
en,105000000,716392705,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,116000000,178127760,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,135000000,245623848,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,120000000,167977596,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,110000000,574480841,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,470490832,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,110000000,333011068,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,110000000,215294342,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7
en,110000000,362744280,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,110000000,478207520,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,110000000,295238201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7
en,116000000,102000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,112000000,237382724,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,120000000,227817248,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,337580051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7
en,110000000,563749323,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,103951461,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,179246868,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,110000000,299268508,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,105000000,347434178,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7
en,160000000,164508066,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,110000000,125537191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
en,110000000,383531464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7
en,93000000,871368364,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
en,110000000,72178895,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
